label,message
ham,"Hi John, Just wanted to check if you're available for our meeting tomorrow at 2 PM. Let me know if that works for you. Best regards, Sarah"
ham,"Dear customer, Your order #12345 has been shipped and will arrive by Friday. Track your package here: http://tracking.company.com/12345"
ham,"Hello team, The project deadline has been extended to next Monday. Please update your tasks accordingly. Thanks, Manager"
ham,"Subject: Weekly Report Attached is the weekly sales report for Q4. Please review and let me know if you have any questions. Regards, Analytics Team"
ham,"Hi Mom, I'll be home late tonight due to traffic. Don't wait up for dinner. Love you!"
ham,"Dear valued customer, Thank you for your recent purchase. We're glad you chose our products. Your satisfaction is important to us."
ham,"Meeting reminder: Project kickoff at 10 AM tomorrow in Conference Room A. Agenda attached."
ham,"Hi, This is a reminder about your dentist appointment scheduled for Wednesday at 3 PM. Please call if you need to reschedule."
ham,"Subject: Vacation Request I would like to request vacation time from June 15-22. Please let me know if this is approved. Thanks!"
ham,"Hello, Your bank statement for May is now available in your online banking portal. Log in to view your transactions."
spam,"URGENT: Your account has been suspended! Click here to verify: http://fakebank-security.com/verify?account=12345"
spam,"WINNER! You've won $1,000,000! Claim your prize now by sending your bank details to: winner@lottery-scam.com"
spam,"Subject: FREE iPhone 15 Pro Max! Congratulations! You've been selected for our giveaway. Pay only $99 shipping to claim!"
spam,"Dear user, Your PayPal account needs immediate verification. Login here: http://paypal-secure-login.com or your account will be suspended."
spam,"HOT STOCK ALERT: Invest in XYZ Corp now! Expected 500% returns in 24 hours! Limited time offer - act fast!"
spam,"Subject: Work from Home Opportunity Earn $5000/month from home! No experience required. Start today!"
spam,"WARNING: Your computer is infected with virus! Download our antivirus software immediately: http://fake-antivirus.com/download"
spam,"Subject: Nigerian Prince Needs Your Help Dear Friend, I am Prince Abdul from Nigeria. I need your assistance to transfer $25 million..."
spam,"CONGRATULATIONS! You've been selected for a FREE vacation to Hawaii! Reply YES to claim your prize!"
spam,"Subject: Debt Relief Program Eliminate all your credit card debt instantly! Call 1-800-DEBT-FREE now!"
spam,"ALERT: Your Amazon account has unusual activity. Verify your identity: http://amazon-security-alert.com/login"
spam,"Subject: Weight Loss Miracle Lose 30 pounds in 30 days! Guaranteed results or your money back!"
spam,"Dear winner, You've won a brand new Tesla! Contact us at: tesla-giveaway@scam.com to arrange delivery."
spam,"URGENT BUSINESS PROPOSAL: Investment opportunity in gold mining. High returns guaranteed. Contact: goldmine@investment.com"
spam,"Subject: Dating Service Success Guaranteed! Find your perfect match today. 100% success rate!"
spam,"WARNING: Your email account will be deleted in 24 hours unless you update your password: http://email-security-update.com"
